52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 04:16:34,27.7,74
2020-06-04 04:17:34,27.7,74
2020-06-04 04:18:34,27.7,74
2020-06-04 04:19:34,27.7,74
2020-06-04 04:20:34,27.7,74
2020-06-04 04:21:34,27.7,74
2020-06-04 04:22:34,27.7,74
2020-06-04 04:23:34,27.7,74
2020-06-04 04:24:34,27.7,74
2020-06-04 04:25:34,27.7,74
2020-06-04 04:26:34,27.7,74
2020-06-04 04:27:34,27.7,74
2020-06-04 04:28:34,27.7,74
2020-06-04 04:29:34,27.7,74
2020-06-04 04:30:34,27.7,74
2020-06-04 04:31:34,27.7,74
2020-06-04 04:32:34,27.7,74
2020-06-04 04:33:34,27.7,74
2020-06-04 04:34:34,27.7,74
2020-06-04 04:35:34,27.7,74
2020-06-04 04:36:34,27.7,74
2020-06-04 04:37:34,27.7,74
2020-06-04 04:38:34,27.7,75
2020-06-04 04:39:34,27.7,75
2020-06-04 04:40:34,27.7,75
2020-06-04 04:41:34,27.7,75
2020-06-04 04:42:34,27.7,75
2020-06-04 04:43:34,27.7,75
2020-06-04 04:44:34,27.7,75
2020-06-04 04:45:34,27.7,75
2020-06-04 04:46:34,27.7,75
2020-06-04 04:47:34,27.7,75
2020-06-04 04:48:34,27.7,75
2020-06-04 04:49:34,27.7,75
2020-06-04 04:50:34,27.7,75
2020-06-04 04:51:34,27.7,75
2020-06-04 04:52:34,27.7,75
2020-06-04 04:53:34,27.7,75
2020-06-04 04:54:34,27.7,74
2020-06-04 04:55:34,27.7,75
2020-06-04 04:56:34,27.7,75
2020-06-04 04:57:34,27.7,75
2020-06-04 04:58:34,27.7,75
2020-06-04 04:59:34,27.7,75
2020-06-04 05:00:34,27.7,75
2020-06-04 05:01:34,27.7,75
2020-06-04 05:02:34,27.7,75
2020-06-04 05:03:34,27.7,75
2020-06-04 05:04:34,27.7,75
2020-06-04 05:05:34,27.7,75
2020-06-04 05:06:34,27.7,75
2020-06-04 05:07:34,27.7,75
2020-06-04 05:08:34,27.7,75
2020-06-04 05:09:34,27.7,75
2020-06-04 05:10:34,27.7,75
2020-06-04 05:11:34,27.7,75
2020-06-04 05:12:34,27.7,75
2020-06-04 05:13:34,27.7,75
2020-06-04 05:14:34,27.7,75
2020-06-04 05:15:34,27.7,75
2020-06-04 05:16:34,27.7,75
2020-06-04 05:17:34,27.7,75
2020-06-04 05:18:34,27.7,75
2020-06-04 05:19:34,27.7,75
2020-06-04 05:20:34,27.7,75
2020-06-04 05:21:34,27.7,75
2020-06-04 05:22:34,27.7,75
2020-06-04 05:23:34,27.7,75
2020-06-04 05:24:34,27.7,75
2020-06-04 05:25:34,27.7,75
2020-06-04 05:26:34,27.7,75
2020-06-04 05:27:34,27.7,75
2020-06-04 05:28:34,27.7,75
2020-06-04 05:29:34,27.7,75
2020-06-04 05:30:34,27.7,75
