5218427A,Ch.1[C],Ch.2[%]
2020-06-04 04:01:50,29.0,87
2020-06-04 04:02:50,29.0,87
2020-06-04 04:03:50,29.0,87
2020-06-04 04:04:50,29.0,87
2020-06-04 04:05:50,29.0,87
2020-06-04 04:06:50,29.0,87
2020-06-04 04:07:50,29.0,87
2020-06-04 04:08:50,29.0,87
2020-06-04 04:09:50,29.0,87
2020-06-04 04:10:50,29.0,87
2020-06-04 04:11:50,29.0,87
2020-06-04 04:12:50,29.0,87
2020-06-04 04:13:50,29.0,87
2020-06-04 04:14:50,29.0,87
2020-06-04 04:15:50,29.0,87
2020-06-04 04:16:50,29.0,87
2020-06-04 04:17:50,29.0,87
2020-06-04 04:18:50,28.9,87
2020-06-04 04:19:50,28.9,87
2020-06-04 04:20:50,28.9,87
2020-06-04 04:21:50,28.9,87
2020-06-04 04:22:50,28.9,87
2020-06-04 04:23:50,28.9,87
2020-06-04 04:24:50,28.9,87
2020-06-04 04:25:50,28.9,87
2020-06-04 04:26:50,28.9,87
2020-06-04 04:27:50,28.9,87
2020-06-04 04:28:50,28.9,87
2020-06-04 04:29:50,28.9,87
2020-06-04 04:30:50,28.8,87
2020-06-04 04:31:50,28.8,87
2020-06-04 04:32:50,28.8,87
2020-06-04 04:33:50,28.8,87
2020-06-04 04:34:50,28.8,87
2020-06-04 04:35:50,28.8,87
2020-06-04 04:36:50,28.8,87
2020-06-04 04:37:50,28.8,87
2020-06-04 04:38:50,28.8,87
2020-06-04 04:39:50,28.8,87
2020-06-04 04:40:50,28.8,88
2020-06-04 04:41:50,28.8,88
2020-06-04 04:42:50,28.8,88
2020-06-04 04:43:50,28.8,88
2020-06-04 04:44:50,28.8,88
2020-06-04 04:45:50,28.8,88
2020-06-04 04:46:50,28.8,88
2020-06-04 04:47:50,28.8,88
2020-06-04 04:48:50,28.7,88
2020-06-04 04:49:50,28.7,88
2020-06-04 04:50:50,28.7,88
2020-06-04 04:51:50,28.7,88
2020-06-04 04:52:50,28.7,88
2020-06-04 04:53:50,28.7,88
2020-06-04 04:54:50,28.7,88
2020-06-04 04:55:50,28.7,88
2020-06-04 04:56:50,28.7,88
2020-06-04 04:57:50,28.7,88
2020-06-04 04:58:50,28.7,88
2020-06-04 04:59:50,28.7,88
2020-06-04 05:00:50,28.7,88
2020-06-04 05:01:50,28.7,88
2020-06-04 05:02:50,28.7,88
2020-06-04 05:03:50,28.7,88
2020-06-04 05:04:50,28.7,88
2020-06-04 05:05:50,28.7,88
2020-06-04 05:06:50,28.7,88
2020-06-04 05:07:50,28.7,88
2020-06-04 05:08:50,28.7,88
2020-06-04 05:09:50,28.7,88
2020-06-04 05:10:50,28.7,88
2020-06-04 05:11:50,28.7,88
2020-06-04 05:12:50,28.7,88
2020-06-04 05:13:50,28.7,88
2020-06-04 05:14:50,28.7,88
2020-06-04 05:15:50,28.7,88
2020-06-04 05:16:50,28.7,88
2020-06-04 05:17:50,28.7,88
2020-06-04 05:18:50,28.8,88
2020-06-04 05:19:50,28.8,88
2020-06-04 05:20:50,28.8,88
2020-06-04 05:21:50,28.8,88
2020-06-04 05:22:50,28.8,88
2020-06-04 05:23:50,28.8,88
2020-06-04 05:24:50,28.7,88
2020-06-04 05:25:50,28.7,88
2020-06-04 05:26:50,28.8,88
2020-06-04 05:27:50,28.8,88
2020-06-04 05:28:50,28.8,88
2020-06-04 05:29:50,28.8,88
2020-06-04 05:30:50,28.8,88
2020-06-04 05:31:50,28.8,88
2020-06-04 05:32:50,28.8,88
2020-06-04 05:33:50,28.8,88
2020-06-04 05:34:50,28.8,88
2020-06-04 05:35:50,28.8,88
2020-06-04 05:36:50,28.8,88
2020-06-04 05:37:50,28.9,88
2020-06-04 05:38:50,28.9,88
2020-06-04 05:39:50,28.9,88
2020-06-04 05:40:50,29.0,88
2020-06-04 05:41:50,29.0,87
2020-06-04 05:42:50,29.0,87
2020-06-04 05:43:50,29.0,87
2020-06-04 05:44:50,29.0,87
2020-06-04 05:45:50,29.0,87
2020-06-04 05:46:50,29.1,87
2020-06-04 05:47:50,29.1,87
2020-06-04 05:48:50,29.1,87
2020-06-04 05:49:50,29.1,87
2020-06-04 05:50:50,29.1,87
2020-06-04 05:51:50,29.2,87
2020-06-04 05:52:50,29.2,87
2020-06-04 05:53:50,29.2,87
2020-06-04 05:54:50,29.2,86
2020-06-04 05:55:50,29.3,86
2020-06-04 05:56:50,29.3,86
2020-06-04 05:57:50,29.3,86
2020-06-04 05:58:50,29.3,86
2020-06-04 05:59:50,29.3,86
2020-06-04 06:00:50,29.3,86
2020-06-04 06:01:50,29.4,86
2020-06-04 06:02:50,29.4,86
2020-06-04 06:03:50,29.4,86
2020-06-04 06:04:50,29.4,86
2020-06-04 06:05:50,29.4,85
2020-06-04 06:06:50,29.4,86
2020-06-04 06:07:50,29.5,85
2020-06-04 06:08:50,29.5,85
2020-06-04 06:09:50,29.5,85
2020-06-04 06:10:50,29.5,85
2020-06-04 06:11:50,29.5,85
2020-06-04 06:12:50,29.5,85
2020-06-04 06:13:50,29.6,85
2020-06-04 06:14:50,29.6,85
2020-06-04 06:15:50,29.7,85
2020-06-04 06:16:50,29.7,84
2020-06-04 06:17:50,29.7,84
2020-06-04 06:18:50,29.7,84
2020-06-04 06:19:50,29.7,84
2020-06-04 06:20:50,29.8,84
2020-06-04 06:21:50,29.8,84
2020-06-04 06:22:50,29.8,84
2020-06-04 06:23:50,29.8,84
2020-06-04 06:24:50,29.8,84
2020-06-04 06:25:50,29.8,84
2020-06-04 06:26:50,29.9,84
2020-06-04 06:27:50,29.8,84
2020-06-04 06:28:50,29.8,84
2020-06-04 06:29:50,29.8,84
2020-06-04 06:30:50,29.8,84
2020-06-04 06:31:50,29.9,84
2020-06-04 06:32:50,29.9,84
2020-06-04 06:33:50,29.8,84
2020-06-04 06:34:50,29.8,84
2020-06-04 06:35:50,29.9,84
2020-06-04 06:36:50,29.8,84
2020-06-04 06:37:50,29.8,84
2020-06-04 06:38:50,29.8,84
2020-06-04 06:39:50,29.9,84
2020-06-04 06:40:50,29.9,84
2020-06-04 06:41:50,29.9,84
2020-06-04 06:42:50,30.0,84
2020-06-04 06:43:50,30.0,84
2020-06-04 06:44:50,30.0,83
2020-06-04 06:45:50,30.1,83
2020-06-04 06:46:50,30.0,83
2020-06-04 06:47:50,30.0,83
2020-06-04 06:48:50,30.0,83
2020-06-04 06:49:50,30.1,83
2020-06-04 06:50:50,30.1,83
2020-06-04 06:51:50,30.1,83
2020-06-04 06:52:50,30.2,83
2020-06-04 06:53:50,30.3,83
2020-06-04 06:54:50,30.3,82
2020-06-04 06:55:50,30.4,82
2020-06-04 06:56:50,30.5,82
2020-06-04 06:57:50,30.5,82
2020-06-04 06:58:50,30.6,81
2020-06-04 06:59:50,30.7,81
2020-06-04 07:00:50,30.6,81
2020-06-04 07:01:50,30.6,81
2020-06-04 07:02:50,30.5,81
2020-06-04 07:03:50,30.5,81
2020-06-04 07:04:50,30.6,82
2020-06-04 07:05:50,30.7,81
2020-06-04 07:06:50,30.7,81
2020-06-04 07:07:50,30.7,81
2020-06-04 07:08:50,30.6,81
2020-06-04 07:09:50,30.6,81
2020-06-04 07:10:50,30.6,81
2020-06-04 07:11:50,30.7,81
2020-06-04 07:12:50,30.7,81
2020-06-04 07:13:50,30.8,81
2020-06-04 07:14:50,30.8,81
2020-06-04 07:15:50,30.8,81
2020-06-04 07:16:50,30.9,81
2020-06-04 07:17:50,30.9,80
2020-06-04 07:18:50,30.7,80
2020-06-04 07:19:50,30.6,81
2020-06-04 07:20:50,30.6,81
2020-06-04 07:21:50,30.7,81
2020-06-04 07:22:50,30.6,81
2020-06-04 07:23:50,30.5,81
2020-06-04 07:24:50,30.5,81
2020-06-04 07:25:50,30.5,81
2020-06-04 07:26:50,30.5,82
2020-06-04 07:27:50,30.5,82
2020-06-04 07:28:50,30.5,82
2020-06-04 07:29:50,30.5,82
2020-06-04 07:30:50,30.5,82
2020-06-04 07:31:50,30.6,82
2020-06-04 07:32:50,30.5,82
2020-06-04 07:33:50,30.5,82
2020-06-04 07:34:50,30.6,82
2020-06-04 07:35:50,30.7,82
2020-06-04 07:36:50,30.7,81
2020-06-04 07:37:50,30.8,81
2020-06-04 07:38:50,30.8,81
2020-06-04 07:39:50,30.9,81
2020-06-04 07:40:50,30.9,80
2020-06-04 07:41:50,30.9,80
2020-06-04 07:42:50,30.8,80
2020-06-04 07:43:50,30.8,80
2020-06-04 07:44:50,30.8,81
2020-06-04 07:45:50,31.0,81
2020-06-04 07:46:50,31.0,80
2020-06-04 07:47:50,31.1,80
2020-06-04 07:48:50,31.2,80
2020-06-04 07:49:50,31.2,79
2020-06-04 07:50:50,31.3,79
2020-06-04 07:51:50,31.4,79
2020-06-04 07:52:50,31.3,79
2020-06-04 07:53:50,31.3,79
2020-06-04 07:54:50,31.2,79
2020-06-04 07:55:50,31.1,79
2020-06-04 07:56:50,31.2,79
2020-06-04 07:57:50,31.3,79
2020-06-04 07:58:50,31.4,79
2020-06-04 07:59:50,31.3,79
2020-06-04 08:00:50,31.3,79
2020-06-04 08:01:50,31.2,79
2020-06-04 08:02:50,31.2,79
2020-06-04 08:03:50,31.2,79
2020-06-04 08:04:50,31.3,79
2020-06-04 08:05:50,31.5,79
2020-06-04 08:06:50,31.5,78
2020-06-04 08:07:50,31.5,78
2020-06-04 08:08:50,31.5,78
2020-06-04 08:09:50,31.5,78
2020-06-04 08:10:50,31.5,78
2020-06-04 08:11:50,31.6,78
2020-06-04 08:12:50,31.6,78
2020-06-04 08:13:50,31.7,78
2020-06-04 08:14:50,31.7,78
2020-06-04 08:15:50,31.8,77
2020-06-04 08:16:50,31.9,77
2020-06-04 08:17:50,32.0,76
2020-06-04 08:18:50,32.2,76
2020-06-04 08:19:50,32.3,75
2020-06-04 08:20:50,32.3,75
2020-06-04 08:21:50,32.4,75
2020-06-04 08:22:50,32.5,74
2020-06-04 08:23:50,32.7,74
2020-06-04 08:24:50,32.5,74
2020-06-04 08:25:50,32.4,74
2020-06-04 08:26:50,32.4,75
2020-06-04 08:27:50,32.4,75
2020-06-04 08:28:50,32.5,75
2020-06-04 08:29:50,32.6,74
2020-06-04 08:30:50,32.8,74
2020-06-04 08:31:50,32.8,74
2020-06-04 08:32:50,32.8,73
2020-06-04 08:33:50,32.9,73
2020-06-04 08:34:50,32.9,73
2020-06-04 08:35:50,33.0,72
2020-06-04 08:36:50,33.0,72
2020-06-04 08:37:50,32.9,72
2020-06-04 08:38:50,32.9,72
2020-06-04 08:39:50,32.9,72
2020-06-04 08:40:50,33.0,72
2020-06-04 08:41:50,33.1,72
2020-06-04 08:42:50,33.2,72
2020-06-04 08:43:50,33.4,71
2020-06-04 08:44:50,33.4,70
2020-06-04 08:45:50,33.3,70
2020-06-04 08:46:50,33.3,71
2020-06-04 08:47:50,33.2,71
2020-06-04 08:48:50,33.3,72
2020-06-04 08:49:50,33.4,72
2020-06-04 08:50:50,33.4,71
2020-06-04 08:51:50,33.4,71
2020-06-04 08:52:50,33.5,71
2020-06-04 08:53:50,33.5,71
2020-06-04 08:54:50,33.3,71
2020-06-04 08:55:50,33.4,71
